slg,bat_avg
0.394,0.315
0.37,0.27
0.444,0.284
0.316,0.275
0.464,0.269
0.388,0.275
0.436,0.297
0.348,0.264
0.534,0.319
0.43,0.275
0.501,0.304
0.4,0.293
0.407,0.279
0.461,0.282
0.375,0.264
0.464,0.285
0.417,0.271
0.417,0.246
0.306,0.259
0.45,0.249
0.481,0.256
0.495,0.307
0.459,0.307
0.532,0.312
0.469,0.318
0.496,0.3
0.339,0.239
0.414,0.247
0.511,0.298
0.515,0.273
0.553,0.321
0.508,0.287
0.301,0.265
0.395,0.267
0.598,0.336
0.596,0.312
0.429,0.259
0.503,0.283
0.312,0.27
0.496,0.284
0.431,0.282
0.452,0.257
0.442,0.284
0.415,0.248
0.429,0.293
0.425,0.29
0.471,0.261
0.507,0.294
0.435,0.255
0.464,0.281
0.448,0.273
0.449,0.286
0.493,0.298
0.617,0.26
0.506,0.29
0.425,0.237
0.363,0.245
0.457,0.284
0.511,0.288
0.458,0.278
0.428,0.282
0.409,0.268
0.374,0.265
0.444,0.275
0.468,0.261
0.536,0.26
0.525,0.283
0.405,0.273
0.405,0.259
0.386,0.298
0.532,0.296
0.396,0.247
0.392,0.249
0.484,0.3
0.505,0.276
0.622,0.328
0.584,0.312
0.428,0.26
0.6,0.324
0.475,0.3
0.353,0.238
0.401,0.271
0.424,0.237
0.346,0.265
0.33,0.253
0.433,0.243
0.394,0.205
0.377,0.284
0.392,0.269
0.413,0.269
0.51,0.307
0.44,0.264
0.506,0.27
0.44,0.248
0.456,0.277
0.633,0.359
0.427,0.249
0.529,0.27
0.493,0.292
0.397,0.247
0.393,0.288
0.444,0.255
0.431,0.266
0.469,0.327
0.407,0.248
0.493,0.281
0.314,0.253
0.368,0.25
0.479,0.268
0.326,0.235
0.433,0.198
0.372,0.268
0.496,0.258
0.366,0.242
0.442,0.273
0.354,0.263
0.493,0.302
0.418,0.251
0.407,0.196
0.459,0.274
0.453,0.269
0.452,0.255
0.379,0.277
0.338,0.265
0.388,0.27
0.268,0.23
0.416,0.321
0.497,0.285
0.568,0.315
0.35,0.254
0.382,0.256
0.468,0.247
0.342,0.262
0.452,0.241
0.416,0.256
0.498,0.276
0.408,0.3
0.354,0.255
0.468,0.238
0.479,0.243
0.535,0.284
0.377,0.249
0.378,0.252
0.333,0.251
0.326,0.267
0.373,0.261
0.41,0.26
0.294,0.223
0.34,0.276
0.381,0.291
0.297,0.256
0.397,0.292
0.353,0.244
0.414,0.262
0.462,0.296
0.445,0.275
0.413,0.304
0.449,0.291
0.409,0.252
0.384,0.246
0.336,0.217
0.4,0.24
0.489,0.281
0.293,0.218
0.406,0.251
0.505,0.305
0.4,0.299
0.395,0.263
0.369,0.237
0.362,0.269
0.576,0.318
0.367,0.256
0.347,0.266
0.429,0.255
0.449,0.278
0.449,0.269
0.408,0.245
0.412,0.286
0.4,0.31
0.351,0.235
0.443,0.256
0.46,0.3
0.454,0.248
0.346,0.276
0.38,0.277
0.487,0.237
0.362,0.221
0.34,0.231
0.409,0.262
0.375,0.263
0.474,0.28
0.447,0.302
0.459,0.268
0.371,0.261
0.564,0.307
0.294,0.227
0.507,0.259
0.383,0.268
0.5,0.254
0.439,0.263
0.469,0.246
0.443,0.318
0.339,0.291
0.374,0.243
0.438,0.272
0.402,0.259
0.371,0.218
0.461,0.256
0.456,0.247
0.331,0.276
0.397,0.251
0.327,0.249
0.481,0.308
0.437,0.279
0.394,0.268
0.378,0.263
0.36,0.258
0.482,0.244
0.332,0.248
0.396,0.224
0.378,0.23
0.497,0.259
0.376,0.239
0.378,0.271
0.474,0.303
0.497,0.28
0.325,0.263
0.361,0.282
0.429,0.27
0.376,0.207
0.426,0.265
0.353,0.256
0.421,0.285
0.354,0.259
0.447,0.24
0.428,0.297
0.406,0.269
0.383,0.294
0.493,0.288
0.385,0.256
0.448,0.311
0.436,0.245
0.463,0.255
0.327,0.246
0.438,0.266
0.378,0.253
0.618,0.345
0.346,0.21
0.34,0.228
0.357,0.247
0.361,0.234
0.438,0.279
0.509,0.266
0.287,0.204
0.367,0.211
0.413,0.274
0.422,0.3
0.433,0.271
0.456,0.256
0.486,0.23
0.329,0.253
0.511,0.297
0.627,0.283
0.258,0.193
0.418,0.249
0.344,0.23
0.304,0.207
0.386,0.24
0.335,0.271
0.519,0.289
0.317,0.234
0.286,0.195
0.284,0.238
0.432,0.255
0.264,0.225
0.4,0.271
0.346,0.22
0.419,0.273
0.302,0.238
0.348,0.28
0.267,0.235
0.287,0.206
0.504,0.276
0.348,0.205
0.447,0.283
0.374,0.276
0.355,0.215
0.322,0.19
0.282,0.249
0.375,0.283
0.404,0.296
0.374,0.244
0.308,0.211
0.356,0.275
0.413,0.268
0.382,0.258
0.391,0.278
0.419,0.231
0.366,0.242
0.208,0.146
0.438,0.25
0.277,0.237
0.362,0.183
0.311,0.239
0.351,0.216
0.342,0.284
0.427,0.255
0.352,0.201
0.367,0.239
0.477,0.241
0.282,0.213
0.298,0.214
0.278,0.208
0.363,0.25
0.396,0.203
0.491,0.288
0.348,0.261
0.413,0.272
0.278,0.195
0.283,0.195
0.319,0.25
0.429,0.3
0.356,0.267
0.366,0.262
0.332,0.257
0.366,0.277
0.433,0.254
0.41,0.29
0.385,0.26
0.384,0.217
0.51,0.311
0.287,0.205
0.316,0.233
0.487,0.29
0.316,0.249
0.414,0.304
0.414,0.236
0.383,0.197
0.406,0.214
0.301,0.247
0.468,0.253
0.381,0.204
0.328,0.261
0.394,0.217
0.369,0.274
0.441,0.268
0.281,0.191
0.398,0.244
0.32,0.24
0.285,0.244
0.526,0.287
0.388,0.265
0.382,0.229
0.278,0.207
0.298,0.22
0.389,0.263
0.377,0.246
0.349,0.277
0.267,0.182
0.455,0.291
0.331,0.196
0.405,0.252
0.327,0.216
0.401,0.259
0.36,0.242
0.319,0.25
0.302,0.214
0.302,0.258
0.392,0.266
0.31,0.203
0.335,0.253
0.342,0.196
0.487,0.25
0.271,0.181
0.247,0.227
0.395,0.276
0.454,0.25
0.371,0.219
0.331,0.238
0.467,0.26
0.336,0.262
0.415,0.306
0.322,0.247
0.469,0.255
0.368,0.201
0.319,0.222
0.382,0.25
0.336,0.224
0.296,0.197
0.401,0.254
0.286,0.214
0.317,0.281
0.417,0.288
0.336,0.237
0.3,0.215
0.233,0.194
0.484,0.281
0.375,0.266
0.289,0.211
0.346,0.228
0.307,0.173
0.397,0.238
0.384,0.24
0.29,0.21
0.258,0.194
0.268,0.22
0.314,0.231
0.479,0.289
0.339,0.256
0.292,0.192
0.328,0.21
0.328,0.207
0.504,0.278
0.412,0.246
0.316,0.281
0.357,0.214
0.304,0.214
0.473,0.232
0.393,0.25
0.333,0.234
0.414,0.198
0.273,0.273
0.376,0.211
0.324,0.278
0.287,0.231
0.213,0.157
0.318,0.196
0.349,0.255
0.358,0.255
0.365,0.231
0.327,0.221
0.288,0.144
0.519,0.308
0.447,0.214
0.324,0.157
0.392,0.265
0.475,0.232
0.475,0.263
0.347,0.276
0.327,0.235
0.204,0.184
0.378,0.224
0.268,0.206
0.32,0.216
0.417,0.229
0.347,0.211
0.258,0.194
0.538,0.323
0.467,0.261
0.141,0.141
0.31,0.23
0.207,0.149
0.379,0.23
0.337,0.209
0.333,0.202
0.417,0.202
0.226,0.167
0.244,0.195
0.247,0.185
0.291,0.241
0.354,0.177
0.228,0.19
0.282,0.218
0.244,0.192
0.39,0.208
0.247,0.195
0.104,0.104
0.299,0.247
0.329,0.197
0.507,0.28
0.392,0.243
0.153,0.111
0.306,0.167
0.366,0.197
0.155,0.141
0.338,0.155
0.329,0.186
0.319,0.261
0.348,0.217
0.191,0.147
0.179,0.149
0.313,0.179
0.104,0.104
0.121,0.106
0.348,0.197
0.415,0.231
0.338,0.185
0.078,0.078
0.422,0.219
0.234,0.188
0.254,0.222
0.349,0.254
0.508,0.254
0.27,0.206
0.222,0.19
0.161,0.145
0.355,0.21
0.097,0.097
0.194,0.177
0.113,0.113
0.323,0.194
0.274,0.177
0.459,0.295
0.295,0.246
0.213,0.148
0.18,0.148
0.295,0.213
0.15,0.133
0.283,0.217
0.119,0.119
0.288,0.186
0.153,0.136
0.085,0.085
0.102,0.102
0.362,0.31
0.328,0.19
0.241,0.19
0.172,0.138
0.404,0.211
0.123,0.105
0.316,0.228
0.14,0.14
0.14,0.14
0.232,0.214
0.321,0.196
0.089,0.089
0.382,0.273
0.527,0.364
0.255,0.127
0.055,0.055
0.036,0.036
0.345,0.236
0.309,0.164
0.333,0.204
0.111,0.111
0.204,0.185
0.222,0.204
0.204,0.111
0.037,0.037
0.111,0.093
0.151,0.132
0.491,0.34
0.226,0.151
0.226,0.189
0.231,0.173
0.404,0.269
0.385,0.231
0.212,0.173
0.288,0.231
0.294,0.255
0.137,0.098
0.118,0.118
0.36,0.28
0.49,0.306
0.347,0.327
0.224,0.184
0.408,0.286
0.104,0.063
0.25,0.25
0.229,0.188
0.354,0.333
0.255,0.213
0.234,0.17
0.319,0.191
0.174,0.152
0.4,0.267
0.159,0.136
0.409,0.25
0.136,0.091
0.295,0.295
0.705,0.318
0.205,0.159
0.465,0.326
0.286,0.167
0.286,0.143
0.143,0.143
0.333,0.19
0.317,0.22
0.22,0.171
0.317,0.146
0.075,0.075
0.2,0.15
0.125,0.125
0.275,0.15
0.205,0.179
0.333,0.179
0.154,0.128
0.487,0.359
0.308,0.205
0.487,0.205
0.237,0.158
0.263,0.184
0.211,0.211
0.316,0.237
0.368,0.263
0.243,0.189
0.459,0.297
0.162,0.135
0.216,0.189
0.378,0.189
0.472,0.306
0.25,0.194
0.333,0.222
0.229,0.2
0.343,0.143
0.229,0.171
0.514,0.343
0.257,0.2
0.257,0.2
0.324,0.265
0.235,0.206
0.118,0.118
0.235,0.176
0.212,0.212
0.273,0.242
0.273,0.242
0.091,0.091
0.212,0.212
0.061,0.061
0.182,0.121
0.344,0.281
0.156,0.094
0.281,0.156
0.161,0.129
0.097,0.065
0.233,0.2
0.4,0.3
0.367,0.2
0.276,0.207
0.276,0.172
0.172,0.138
0.379,0.138
0.414,0.276
0.179,0.179
0.286,0.179
0.179,0.143
0.179,0.179
0.074,0.074
0.222,0.148
0.222,0.185
0.111,0.111
0.407,0.296
0.222,0.185
0,0
0.038,0.038
0.192,0.154
0.077,0.077
0.077,0.077
0.192,0.154
0.231,0.192
0.231,0.192
0.04,0.04
0.2,0.12
0.2,0.16
0.32,0.28
0.16,0.12
0.375,0.208
0.417,0.25
0.333,0.167
0.375,0.208
0.167,0.125
0.083,0.083
0.333,0.292
0.083,0.083
0.292,0.167
0.261,0.217
0.348,0.261
0.174,0.13
0.348,0.217
0.217,0.217
0.304,0.261
0.087,0.087
0.091,0.091
0.318,0.227
0.182,0.136
0.273,0.136
0.045,0.045
0.333,0.19
0.095,0.048
0.286,0.143
0.65,0.3
0.15,0.1
0.05,0.05
0.4,0.3
0.05,0.05
0.1,0.1
0.316,0.158
0.421,0.211
0.211,0.158
0.056,0.056
0.167,0.167
0.167,0.167
0.278,0.167
0.294,0.294
0.353,0.235
0.294,0.235
0.294,0.176
0.118,0.118
0,0
0.063,0.063
0.267,0.2
0.4,0.4
0.467,0.267
0.733,0.333
0.2,0.2
0.067,0.067
0.786,0.357
0.143,0.143
0.071,0.071
0.429,0.214
0.071,0.071
0.429,0.214
0,0
0.231,0.077
0,0
0.231,0.231
0.154,0.154
0.308,0.308
0.462,0.308
0.333,0.25
0.25,0.167
0.083,0.083
0.25,0.167
0.833,0.333
0.091,0.091
0.182,0.091
0.545,0.273
0.091,0.091
0.8,0.4
0,0
0,0
0.1,0.1
0.2,0.2
0.2,0.2
0.5,0.4
0.2,0.2
0.2,0.2
0.444,0.111
0,0
0.111,0.111
0.333,0.222
0,0
0.125,0.125
0.125,0.125
0.125,0.125
0,0
0.125,0.125
0.125,0.125
0,0
0.25,0.125
0,0
0,0
0.286,0.286
0,0
0,0
0,0
0.714,0.286
0.286,0.286
0.143,0.143
0.286,0.286
0.143,0.143
0.143,0.143
0.143,0.143
0.429,0.286
0,0
0.429,0.429
0,0
0,0
1,0.5
0.333,0.167
0,0
0,0
0,0
0,0
0,0
0.5,0.5
0,0
0.4,0.2
0.2,0.2
0.2,0.2
0,0
0,0
0.4,0.4
0,0
0,0
0,0
0,0
0.6,0.4
0,0
0,0
0,0
0,0
0.2,0.2
0,0
0.2,0.2
0,0
0,0
0.5,0.25
0.25,0.25
0,0
0.5,0.25
0,0
0.25,0.25
0,0
0.5,0.25
0,0
0,0
0.25,0.25
0.5,0.5
0,0
0,0
0.25,0.25
0,0
0,0
0,0
0,0
0.25,0.25
0,0
0,0
0,0
0,0
0.25,0.25
0,0
0,0
0,0
0.333,0.333
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.333,0.333
0,0
0,0
0.333,0.333
0,0
0.333,0.333
0,0
0,0
0,0
0,0
0.333,0.333
0,0
1.667,0.667
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.5,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.5,0.5
0.5,0.5
0,0
0,0
0,0
0,0
0,0
0.5,0.5
0,0
0,0
0,0
0.5,0.5
0,0
0.5,0.5
0.5,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
1,1
0,0
1,1
0,0
0,0
4,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
